Unnamed: 0,carat,cut,cut_ord,color,clarity,clarity_ord,price,color_ord
11125,0.82,Very Good,3,G,IF,8,4844,4
11126,0.4,Ideal,5,H,IF,8,1153,4
11127,1.03,Premium,4,J,VS1,4,3957,4
11128,0.52,Ideal,5,E,VS2,5,1689,5
11129,0.73,Very Good,3,F,VVS2,6,3669,5
11130,2.05,Ideal,5,J,VS1,4,16793,4
11131,0.31,Very Good,3,E,VVS2,6,766,5
11132,0.94,Ideal,5,F,I1,1,2571,5
11133,1.0,Good,2,H,VS1,4,5743,4
11134,0.31,Ideal,5,D,SI1,3,571,5
11135,0.32,Ideal,5,G,IF,8,1020,4
11136,0.42,Very Good,3,E,SI1,3,773,5
11137,0.71,Good,2,G,SI2,2,1816,4
11138,1.51,Premium,4,D,SI2,2,9234,5
11139,0.9,Premium,4,I,SI1,3,3251,4
11140,0.31,Ideal,5,E,SI1,3,544,5
11141,0.38,Very Good,3,F,VS1,4,835,5
11142,0.61,Very Good,3,G,VS2,5,1861,4
11143,1.61,Premium,4,I,VS2,5,9341,4
11144,0.25,Very Good,3,F,VVS2,6,633,5
11145,0.75,Good,2,E,SI2,2,2702,5
11146,1.22,Very Good,3,G,VVS2,6,8975,4
11147,0.53,Ideal,5,H,VS1,4,1607,4
11148,0.52,Premium,4,D,SI2,2,1385,5
11149,0.77,Ideal,5,F,VS2,5,3533,5
11150,0.31,Ideal,5,H,IF,8,789,4
11151,2.06,Very Good,3,I,SI2,2,14298,4
11152,0.3,Ideal,5,G,VS1,4,624,4
11153,0.31,Ideal,5,D,SI2,2,593,5
11154,0.28,Ideal,5,F,VS1,4,598,5
11155,0.41,Ideal,5,D,SI1,3,1015,5
11156,1.2,Premium,4,F,VVS2,6,11021,5
11157,0.34,Premium,4,D,SI1,3,750,5
11158,0.88,Very Good,3,I,SI1,3,2699,4
11159,0.31,Ideal,5,E,VVS2,6,816,5
11160,0.72,Very Good,3,F,VVS2,6,3420,5
11161,1.01,Very Good,3,E,SI2,2,4299,5
11162,0.73,Ideal,5,F,VS2,5,2939,5
11163,1.5,Good,2,H,VS1,4,9878,4
11164,0.32,Ideal,5,G,VS1,4,828,4
11165,0.38,Ideal,5,E,SI2,2,603,5
11166,1.0,Good,2,H,SI2,2,3850,4
11167,0.48,Ideal,5,G,VVS2,6,1574,4
11168,0.43,Ideal,5,D,VS2,5,1056,5
11169,0.3,Ideal,5,E,VVS1,7,956,5
11170,0.48,Fair,1,E,VS2,5,1215,5
11171,1.2,Ideal,5,J,SI1,3,5002,4
11172,1.2,Premium,4,H,SI1,3,6129,4
11173,1.2,Very Good,3,G,SI2,2,5474,4
11174,0.52,Premium,4,D,VS2,5,1619,5
11175,0.3,Very Good,3,D,VVS2,6,754,5
11176,1.08,Very Good,3,H,VS2,5,5515,4
11177,0.31,Very Good,3,F,VVS1,7,859,5
11178,0.36,Premium,4,F,VVS2,6,945,5
11179,0.9,Very Good,3,G,VS2,5,4296,4
11180,0.3,Very Good,3,H,VS2,5,473,4
11181,0.55,Ideal,5,H,SI2,2,1057,4
11182,1.27,Good,2,J,SI2,2,4542,4
11183,0.32,Ideal,5,E,VS1,4,713,5
11184,0.37,Ideal,5,I,IF,8,754,4
11185,1.02,Very Good,3,E,SI2,2,4540,5
11186,0.56,Premium,4,D,SI2,2,1388,5
11187,2.48,Premium,4,I,SI2,2,17607,4
11188,0.41,Premium,4,G,VS2,5,827,4
11189,0.33,Premium,4,G,VVS1,7,868,4
11190,0.43,Very Good,3,I,IF,8,998,4
11191,0.42,Premium,4,F,VS1,4,1103,5
11192,0.41,Ideal,5,F,VVS2,6,1115,5
11193,0.33,Very Good,3,D,SI1,3,608,5
11194,1.52,Very Good,3,I,VS2,5,10051,4
11195,0.28,Ideal,5,F,VVS2,6,787,5
11196,0.51,Good,2,E,VS2,5,1662,5
11197,0.31,Premium,4,G,VVS1,7,1046,4
11198,0.4,Very Good,3,F,VVS1,7,1111,5
11199,0.73,Ideal,5,E,VS1,4,3758,5
11200,1.04,Premium,4,G,VVS2,6,7953,4
11201,1.52,Very Good,3,G,VS2,5,11093,4
11202,0.91,Good,2,F,VS1,4,4823,5
11203,0.71,Very Good,3,I,SI2,2,1902,4
11204,0.32,Very Good,3,H,VS2,5,505,4
11205,2.08,Ideal,5,H,SI1,3,17469,4
11206,1.01,Good,2,F,SI2,2,4416,5
11207,0.4,Premium,4,G,VVS1,7,1200,4
11208,1.0,Ideal,5,E,SI2,2,3450,5
11209,0.4,Premium,4,D,VS2,5,1050,5
11210,0.5,Premium,4,F,VVS2,6,1814,5
11211,1.0,Ideal,5,F,VVS2,6,7849,5
11212,0.4,Ideal,5,H,VVS1,7,1017,4
11213,0.45,Ideal,5,I,IF,8,1043,4
11214,0.35,Ideal,5,H,VVS1,7,798,4
11215,1.5,Good,2,H,SI1,3,9336,4
11216,1.01,Premium,4,G,SI1,3,4719,4
11217,1.08,Very Good,3,F,SI2,2,4167,5
11218,0.44,Good,2,J,VS1,4,694,4
11219,0.5,Very Good,3,D,VS2,5,1553,5
11220,0.5,Fair,1,E,VS1,4,1890,5
11221,0.34,Ideal,5,E,SI1,3,596,5
11222,0.7,Good,2,F,SI2,2,2411,5
11223,0.43,Premium,4,F,SI1,3,1016,5
11224,0.75,Premium,4,D,SI2,2,2337,5
11225,0.7,Premium,4,G,VS1,4,2459,4
11226,1.08,Premium,4,G,VS2,5,6532,4
11227,0.31,Ideal,5,G,VVS2,6,671,4
11228,0.52,Ideal,5,H,VS1,4,1665,4
11229,0.52,Ideal,5,D,SI1,3,1605,5
11230,0.4,Very Good,3,F,VVS2,6,1088,5
11231,1.0,Fair,1,H,VS2,5,4166,4
11232,0.64,Good,2,G,VS2,5,1906,4
11233,0.93,Fair,1,H,SI1,3,3750,4
11234,0.72,Premium,4,G,VVS2,6,2720,4
11235,0.24,Ideal,5,G,IF,8,559,4
11236,0.3,Ideal,5,D,VS2,5,790,5
11237,1.23,Premium,4,F,VS1,4,9471,5
11238,0.41,Ideal,5,E,SI2,2,876,5
11239,0.51,Ideal,5,E,SI1,3,1284,5
11240,0.51,Very Good,3,I,SI1,3,1068,4
11241,1.39,Ideal,5,J,VS2,5,6831,4
11242,0.3,Very Good,3,E,VS2,5,658,5
11243,0.56,Ideal,5,F,VS2,5,1739,5
11244,1.01,Very Good,3,D,SI2,2,5252,5
11245,0.56,Ideal,5,D,SI1,3,1745,5
11246,0.4,Ideal,5,D,SI1,3,772,5
11247,1.24,Premium,4,G,SI1,3,6145,4
11248,0.31,Good,2,E,VS1,4,600,5
11249,0.38,Ideal,5,G,VS1,4,800,4
11250,2.01,Very Good,3,H,VS2,5,18507,4
11251,1.01,Premium,4,F,VS2,5,6271,5
11252,0.29,Ideal,5,H,VVS2,6,511,4
11253,1.02,Good,2,H,SI1,3,4796,4
11254,0.3,Ideal,5,G,VVS2,6,655,4
11255,1.04,Good,2,J,VS2,5,3285,4
11256,0.34,Ideal,5,E,SI1,3,596,5
11257,0.71,Ideal,5,E,SI1,3,2329,5
11258,0.71,Ideal,5,H,SI2,2,2360,4
11259,0.56,Ideal,5,D,SI1,3,1814,5
11260,0.51,Ideal,5,E,VS2,5,1656,5
11261,0.9,Very Good,3,D,SI2,2,3818,5
11262,1.07,Very Good,3,E,VS1,4,7768,5
11263,0.3,Ideal,5,E,VS2,5,658,5
11264,1.0,Premium,4,F,SI2,2,4452,5
11265,0.28,Good,2,E,VS1,4,458,5
11266,1.12,Premium,4,I,VS1,4,4987,4
11267,0.7,Premium,4,J,VS2,5,1843,4
11268,0.71,Very Good,3,E,VS1,4,3009,5
11269,1.22,Very Good,3,G,SI2,2,6409,4
11270,0.41,Very Good,3,D,VVS2,6,1160,5
11271,0.7,Very Good,3,E,VS1,4,3154,5
11272,0.73,Premium,4,I,VS2,5,2246,4
11273,0.3,Ideal,5,G,VS1,4,776,4
11274,1.01,Ideal,5,D,SI2,2,4805,5
11275,1.12,Very Good,3,H,SI1,3,5236,4
11276,1.22,Ideal,5,E,VVS2,6,12036,5
11277,0.71,Very Good,3,G,SI1,3,2334,4
11278,0.3,Very Good,3,I,VS1,4,608,4
11279,2.05,Very Good,3,G,SI1,3,12515,4
11280,1.01,Very Good,3,I,SI1,3,4166,4
11281,0.39,Ideal,5,E,VS1,4,1004,5
11282,0.25,Premium,4,E,VVS1,7,740,5
11283,1.75,Premium,4,H,VS2,5,9526,4
11284,0.74,Ideal,5,D,VVS2,6,5841,5
11285,0.4,Premium,4,H,VS1,4,807,4
11286,0.39,Ideal,5,G,VVS1,7,978,4
11287,0.9,Very Good,3,I,VS2,5,3209,4
11288,0.76,Ideal,5,E,VS2,5,3249,5
11289,1.14,Ideal,5,H,SI1,3,5003,4
11290,0.3,Ideal,5,D,SI1,3,552,5
11291,0.61,Very Good,3,E,SI1,3,1726,5
11292,0.7,Good,2,E,SI1,3,2386,5
11293,0.31,Ideal,5,H,VVS2,6,802,4
11294,0.5,Ideal,5,D,SI1,3,1272,5
11295,0.39,Good,2,F,SI1,3,718,5
11296,0.4,Very Good,3,E,VS1,4,1053,5
11297,0.31,Ideal,5,D,VS2,5,816,5
11298,0.4,Premium,4,G,VVS2,6,982,4
11299,0.74,Ideal,5,D,SI1,3,2723,5
11300,0.29,Very Good,3,H,VVS2,6,541,4
11301,1.0,Good,2,F,SI2,2,3977,5
11302,1.04,Ideal,5,F,SI1,3,5795,5
11303,1.2,Ideal,5,E,VVS2,6,11839,5
11304,1.51,Good,2,I,SI2,2,7957,4
11305,1.16,Premium,4,G,VS2,5,7074,4
11306,0.31,Premium,4,E,VS1,4,942,5
11307,1.58,Premium,4,F,SI2,2,6990,5
11308,0.72,Very Good,3,E,VS2,5,3550,5
11309,1.04,Very Good,3,I,SI1,3,4290,4
11310,0.34,Premium,4,D,VS2,5,805,5
11311,1.51,Ideal,5,D,SI1,3,11942,5
11312,0.35,Ideal,5,E,VVS1,7,905,5
11313,1.01,Very Good,3,J,SI2,2,3592,4
11314,0.3,Premium,4,G,VVS2,6,878,4
11315,1.83,Fair,1,H,I1,1,6887,4
11316,1.27,Ideal,5,F,IF,8,15377,5
11317,0.8,Ideal,5,I,IF,8,3357,4
11318,1.0,Very Good,3,D,SI2,2,5227,5
11319,0.76,Ideal,5,D,VS2,5,3401,5
11320,0.56,Very Good,3,J,SI1,3,957,4
11321,0.53,Ideal,5,F,VS1,4,1812,5
11322,0.4,Premium,4,D,VS1,4,1200,5
11323,0.34,Premium,4,H,SI1,3,477,4
11324,1.57,Very Good,3,H,SI1,3,12392,4
11325,0.73,Ideal,5,D,SI1,3,3140,5
11326,0.31,Good,2,I,SI1,3,408,4
11327,0.3,Very Good,3,J,VS1,4,506,4
11328,1.51,Ideal,5,H,VS2,5,10763,4
11329,1.0,Good,2,H,SI2,2,3991,4
11330,1.02,Ideal,5,D,SI1,3,6040,5
11331,2.27,Premium,4,J,VS1,4,17149,4
11332,1.01,Ideal,5,I,VS1,4,5182,4
11333,0.3,Ideal,5,H,SI1,3,514,4
11334,0.5,Premium,4,D,VS2,5,1845,5
11335,2.51,Very Good,3,J,SI1,3,16842,4
11336,0.55,Ideal,5,G,VVS1,7,2077,4
11337,0.7,Ideal,5,F,VS1,4,2751,5
11338,0.3,Premium,4,E,SI1,3,526,5
11339,0.73,Ideal,5,E,SI1,3,2852,5
11340,1.19,Ideal,5,G,VVS2,6,9383,4
11341,1.0,Premium,4,H,IF,8,7235,4
11342,0.38,Premium,4,E,VS1,4,1069,5
11343,1.0,Good,2,I,VS1,4,4202,4
11344,0.3,Very Good,3,F,VS2,5,524,5
11345,1.01,Good,2,H,SI1,3,4116,4
11346,2.01,Very Good,3,F,SI2,2,17005,5
11347,1.3,Very Good,3,F,SI1,3,7567,5
11348,1.13,Very Good,3,J,VS1,4,5370,4
11349,0.32,Ideal,5,F,VVS1,7,947,5
11350,0.5,Very Good,3,G,SI1,3,1197,4
11351,0.91,Premium,4,G,VVS2,6,5167,4
11352,1.2,Good,2,J,VS2,5,4466,4
11353,0.5,Ideal,5,D,SI1,3,1654,5
11354,1.26,Premium,4,I,SI2,2,5151,4
11355,0.81,Ideal,5,E,SI1,3,3373,5
11356,1.08,Premium,4,F,SI2,2,4407,5
11357,0.61,Ideal,5,G,VS1,4,2177,4
11358,0.64,Premium,4,E,VS2,5,1926,5
11359,0.46,Ideal,5,G,VVS2,6,1306,4
11360,1.01,Very Good,3,J,SI1,3,3998,4
11361,1.06,Very Good,3,F,SI2,2,4634,5
11362,0.73,Ideal,5,E,VVS1,7,4830,5
11363,0.59,Ideal,5,F,SI1,3,1424,5
11364,0.9,Ideal,5,D,SI2,2,3990,5
11365,1.14,Premium,4,H,VS1,4,5809,4
11366,0.5,Premium,4,F,VS1,4,1715,5
11367,0.71,Premium,4,E,VVS1,7,3779,5
11368,1.13,Ideal,5,G,VVS2,6,9333,4
11369,1.13,Premium,4,H,SI2,2,4430,4
11370,1.5,Very Good,3,I,SI1,3,7722,4
11371,0.31,Good,2,E,SI1,3,544,5
11372,1.53,Premium,4,E,SI2,2,8996,5
11373,0.3,Very Good,3,G,VS2,5,541,4
11374,0.7,Ideal,5,D,SI1,3,2822,5
11375,0.32,Ideal,5,G,IF,8,918,4
11376,1.1,Good,2,I,SI1,3,4497,4
11377,1.2,Good,2,I,VS1,4,5818,4
11378,0.33,Very Good,3,D,VS2,5,615,5
11379,1.0,Fair,1,F,SI1,3,4679,5
11380,1.53,Very Good,3,I,SI1,3,7971,4
11381,1.2,Premium,4,G,VS1,4,8596,4
11382,0.41,Ideal,5,G,SI2,2,648,4
11383,1.0,Very Good,3,I,VS2,5,5020,4
11384,1.62,Premium,4,G,VS2,5,13702,4
11385,0.25,Very Good,3,F,VS1,4,435,5
11386,0.54,Good,2,D,SI1,3,1551,5
11387,0.23,Very Good,3,G,VVS2,6,438,4
11388,0.56,Premium,4,F,SI1,3,1436,5
11389,1.21,Premium,4,F,VS2,5,8877,5
11390,0.54,Ideal,5,E,VS1,4,2041,5
11391,1.11,Good,2,I,VS1,4,4817,4
11392,0.42,Good,2,D,VS1,4,1315,5
11393,2.02,Ideal,5,H,SI1,3,16665,4
11394,0.32,Very Good,3,G,VVS1,7,685,4
11395,0.31,Premium,4,G,VS2,5,698,4
11396,0.42,Premium,4,G,VS1,4,984,4
11397,0.7,Good,2,H,VVS2,6,2477,4
11398,0.5,Premium,4,E,VS2,5,1676,5
11399,1.01,Premium,4,H,SI2,2,2788,4
11400,0.33,Very Good,3,E,VVS2,6,981,5
11401,0.53,Ideal,5,G,VS2,5,1607,4
11402,1.52,Premium,4,E,SI1,3,10963,5
11403,1.71,Premium,4,I,SI2,2,8366,4
11404,0.51,Premium,4,G,SI1,3,1281,4
11405,0.32,Premium,4,H,VVS1,7,936,4
11406,0.9,Very Good,3,G,SI2,2,3842,4
11407,1.14,Ideal,5,I,VS1,4,5863,4
11408,0.73,Ideal,5,E,VVS2,6,3780,5
11409,1.0,Premium,4,J,SI2,2,2801,4
11410,0.9,Premium,4,D,VS2,5,4586,5
11411,1.01,Ideal,5,G,VVS2,6,7167,4
11412,0.92,Good,2,D,SI1,3,4158,5
11413,0.42,Ideal,5,G,VS2,5,847,4
11414,0.38,Ideal,5,H,VS2,5,741,4
11415,1.55,Ideal,5,I,VS2,5,9233,4
11416,1.0,Ideal,5,G,VS2,5,5967,4
11417,0.77,Very Good,3,I,VS2,5,2391,4
11418,0.77,Very Good,3,I,VS2,5,2513,4
11419,2.0,Very Good,3,H,SI1,3,17247,4
11420,0.32,Premium,4,F,VS2,5,828,5
11421,1.22,Very Good,3,F,SI1,3,7372,5
11422,0.4,Premium,4,G,VVS2,6,917,4
11423,0.41,Good,2,G,SI2,2,611,4
11424,0.74,Fair,1,E,SI2,2,2617,5
11425,0.71,Premium,4,H,VS1,4,2401,4
11426,0.73,Ideal,5,D,VS2,5,3467,5
11427,1.31,Ideal,5,F,SI1,3,6470,5
11428,1.01,Very Good,3,I,VS1,4,5165,4
11429,0.33,Ideal,5,E,SI1,3,579,5
11430,1.5,Very Good,3,H,VS2,5,10023,4
11431,0.45,Ideal,5,E,VVS2,6,1401,5
11432,0.5,Very Good,3,E,SI1,3,1331,5
11433,1.01,Very Good,3,H,VS2,5,4821,4
11434,0.7,Very Good,3,E,SI2,2,2453,5
11435,0.36,Good,2,D,SI1,3,619,5
11436,1.1,Ideal,5,J,VS2,5,4537,4
11437,0.32,Ideal,5,D,SI1,3,756,5
11438,1.55,Ideal,5,J,SI1,3,7987,4
11439,2.06,Ideal,5,H,SI2,2,12119,4
11440,2.2,Ideal,5,H,SI2,2,16530,4
11441,0.4,Very Good,3,F,VS1,4,982,5
11442,0.7,Very Good,3,E,SI1,3,2518,5
11443,1.01,Good,2,G,SI1,3,4672,4
11444,0.9,Ideal,5,H,SI2,2,4101,4
11445,1.07,Premium,4,F,SI2,2,4700,5
11446,0.71,Very Good,3,E,VS1,4,3006,5
11447,0.71,Ideal,5,I,VS1,4,2637,4
11448,1.13,Fair,1,H,I1,1,2968,4
11449,0.7,Premium,4,F,VS2,5,2762,5
11450,0.53,Ideal,5,G,SI1,3,1665,4
11451,1.2,Ideal,5,H,SI1,3,6578,4
11452,1.02,Very Good,3,D,VS2,5,7677,5
11453,0.43,Premium,4,F,SI2,2,871,5
11454,0.76,Premium,4,G,SI2,2,1970,4
11455,1.21,Ideal,5,I,SI1,3,5218,4
11456,1.2,Ideal,5,I,VS2,5,5736,4
11457,2.01,Good,2,H,SI1,3,15618,4
11458,0.41,Very Good,3,D,VVS2,6,1295,5
11459,0.7,Fair,1,F,VS2,5,2516,5
11460,1.11,Premium,4,H,SI1,3,5315,4
11461,2.11,Very Good,3,I,SI1,3,14740,4
11462,0.33,Ideal,5,H,IF,8,1114,4
11463,1.0,Good,2,G,SI1,3,3965,4
11464,0.41,Premium,4,G,SI1,3,719,4
11465,0.71,Premium,4,I,VS2,5,2362,4
11466,0.74,Ideal,5,F,VS2,5,3246,5
11467,0.72,Very Good,3,G,SI1,3,2385,4
11468,0.51,Ideal,5,H,VS2,5,1563,4
11469,1.52,Ideal,5,D,VS2,5,15922,5
11470,0.54,Ideal,5,H,VVS1,7,1944,4
11471,0.51,Very Good,3,E,SI1,3,1357,5
11472,0.54,Ideal,5,F,VS2,5,1820,5
11473,1.53,Ideal,5,I,VS1,4,10560,4
11474,0.43,Very Good,3,F,VS2,5,905,5
11475,1.71,Good,2,H,VS2,5,13068,4
11476,0.33,Premium,4,F,SI2,2,557,5
11477,1.01,Very Good,3,I,SI1,3,4243,4
11478,1.06,Very Good,3,G,I1,1,2080,4
11479,0.7,Ideal,5,D,VVS2,6,5539,5
11480,0.42,Ideal,5,G,VS2,5,847,4
11481,0.5,Premium,4,E,VS2,5,1629,5
11482,1.18,Very Good,3,E,VVS2,6,12100,5
11483,1.01,Very Good,3,G,VVS2,6,6843,4
11484,1.0,Very Good,3,F,VVS1,7,8008,5
11485,0.44,Ideal,5,E,SI2,2,691,5
11486,1.01,Ideal,5,F,SI2,2,4416,5
11487,0.32,Premium,4,H,VS2,5,505,4
11488,0.38,Ideal,5,D,SI2,2,633,5
11489,0.31,Ideal,5,G,IF,8,801,4
11490,0.35,Ideal,5,I,VS2,5,491,4
11491,1.01,Very Good,3,I,SI1,3,3888,4
11492,0.71,Very Good,3,D,VVS2,6,4014,5
11493,0.41,Premium,4,E,SI1,3,930,5
11494,1.03,Ideal,5,F,VS1,4,7752,5
11495,0.31,Ideal,5,I,VS2,5,452,4
11496,1.04,Premium,4,I,VS1,4,4240,4
11497,0.56,Ideal,5,F,VS1,4,2016,5
11498,1.25,Premium,4,G,VVS1,7,7389,4
11499,1.05,Very Good,3,H,SI1,3,4608,4
11500,0.3,Good,2,J,VS1,4,394,4
11501,0.51,Premium,4,F,SI2,2,1227,5
11502,0.54,Ideal,5,F,SI1,3,1385,5
11503,0.32,Ideal,5,D,VVS1,7,1067,5
11504,0.86,Very Good,3,H,SI1,3,3115,4
11505,1.09,Ideal,5,F,VS1,4,8730,5
11506,0.59,Very Good,3,E,VS2,5,1857,5
11507,0.81,Premium,4,D,SI2,2,2809,5
11508,0.31,Ideal,5,E,VS1,4,942,5
11509,0.71,Ideal,5,F,VVS1,7,5019,5
11510,1.24,Ideal,5,G,VVS1,7,11503,4
11511,2.15,Ideal,5,J,VS1,4,15613,4
11512,0.51,Ideal,5,D,VS1,4,1779,5
11513,1.21,Very Good,3,D,VVS2,6,13630,5
11514,0.7,Premium,4,G,SI2,2,2100,4
11515,0.4,Very Good,3,E,VS2,5,925,5
11516,0.76,Premium,4,D,SI1,3,2847,5
11517,0.3,Very Good,3,F,VVS1,7,783,5
11518,0.43,Premium,4,G,VS2,5,867,4
11519,0.46,Very Good,3,D,SI1,3,927,5
11520,1.04,Premium,4,G,SI2,2,4158,4
11521,1.0,Good,2,I,SI1,3,4015,4
11522,0.41,Premium,4,G,VS1,4,961,4
11523,0.3,Ideal,5,F,IF,8,873,5
11524,1.08,Ideal,5,H,VS2,5,5745,4
11525,0.41,Good,2,G,SI2,2,611,4
11526,0.84,Very Good,3,F,VVS2,6,4318,5
11527,0.4,Ideal,5,D,VS2,5,1050,5
11528,0.91,Good,2,G,VS1,4,4284,4
11529,1.04,Premium,4,H,SI1,3,5179,4
11530,0.91,Very Good,3,E,SI2,2,3772,5
11531,0.37,Ideal,5,H,VS2,5,603,4
11532,0.7,Fair,1,G,VS1,4,2250,4
11533,0.36,Ideal,5,H,VS2,5,587,4
11534,0.81,Premium,4,I,SI2,2,1786,4
11535,1.51,Ideal,5,E,VS2,5,13986,5
11536,0.52,Fair,1,F,SI2,2,975,5
11537,0.54,Very Good,3,I,SI1,3,1135,4
11538,0.42,Ideal,5,E,VS2,5,1024,5
11539,0.31,Ideal,5,F,VS1,4,695,5
11540,0.59,Premium,4,E,VS2,5,2177,5
11541,1.2,Ideal,5,D,SI1,3,7508,5
11542,1.23,Good,2,G,SI1,3,6545,4
11543,0.51,Premium,4,E,VS2,5,1733,5
11544,0.85,Premium,4,D,SI2,2,2737,5
11545,1.5,Good,2,F,SI2,2,8181,5
11546,0.33,Ideal,5,J,SI1,3,403,4
11547,1.2,Premium,4,H,VS1,4,6720,4
11548,0.51,Ideal,5,D,VS2,5,1769,5
11549,1.51,Very Good,3,I,VS1,4,9704,4
11550,0.7,Good,2,F,VVS1,7,3206,5
11551,0.33,Ideal,5,G,SI1,3,492,4
11552,1.01,Good,2,D,VS2,5,6999,5
11553,0.91,Premium,4,F,SI2,2,3845,5
11554,0.31,Very Good,3,G,VS1,4,625,4
11555,0.9,Premium,4,E,SI2,2,3830,5
11556,1.54,Good,2,J,I1,1,4492,4
11557,0.91,Good,2,F,SI1,3,4279,5
11558,0.44,Premium,4,F,VVS2,6,1196,5
11559,0.71,Very Good,3,I,SI1,3,2141,4
11560,0.54,Premium,4,H,SI2,2,972,4
11561,0.38,Good,2,F,VS2,5,752,5
11562,0.79,Very Good,3,F,SI1,3,2904,5
11563,0.37,Premium,4,G,VS1,4,746,4
11564,1.36,Premium,4,G,SI1,3,7729,4
11565,1.02,Premium,4,F,VS1,4,7677,5
11566,1.51,Very Good,3,F,VS1,4,16402,5
11567,0.33,Ideal,5,E,VS1,4,1002,5
11568,1.52,Ideal,5,D,SI1,3,14426,5
11569,0.9,Very Good,3,H,SI2,2,3105,4
11570,0.72,Very Good,3,F,VS2,5,2931,5
11571,1.04,Premium,4,J,SI2,2,3669,4
11572,0.91,Very Good,3,I,VVS2,6,3618,4
11573,1.01,Premium,4,H,VS2,5,4839,4
11574,1.01,Very Good,3,G,VS2,5,5696,4
11575,0.7,Very Good,3,E,VS2,5,2850,5
11576,1.58,Premium,4,E,SI2,2,7963,5
11577,0.58,Ideal,5,F,VVS2,6,2401,5
11578,0.43,Very Good,3,F,VVS1,7,1358,5
11579,0.52,Ideal,5,E,VS2,5,1815,5
11580,0.7,Very Good,3,E,SI1,3,2569,5
11581,0.36,Premium,4,E,SI2,2,605,5
11582,0.31,Ideal,5,F,VS2,5,802,5
11583,0.41,Ideal,5,E,VS2,5,935,5
11584,0.33,Ideal,5,F,VS2,5,666,5
11585,0.56,Very Good,3,D,IF,8,4025,5
11586,0.27,Ideal,5,H,VS2,5,451,4
11587,0.41,Premium,4,G,VS1,4,961,4
11588,0.54,Very Good,3,D,VS2,5,1817,5
11589,0.9,Ideal,5,I,VS1,4,3677,4
11590,1.14,Fair,1,J,SI2,2,3403,4
11591,1.01,Very Good,3,E,SI2,2,4355,5
11592,1.41,Ideal,5,G,VS1,4,11109,4
11593,0.52,Ideal,5,H,VS2,5,1573,4
11594,0.35,Ideal,5,E,VS1,4,773,5
11595,0.52,Ideal,5,I,VS1,4,1357,4
11596,0.72,Premium,4,F,VS2,5,2530,5
11597,0.36,Premium,4,H,VS2,5,729,4
11598,0.31,Premium,4,H,SI1,3,573,4
11599,2.12,Premium,4,J,SI2,2,12140,4
11600,0.74,Very Good,3,G,SI1,3,2762,4
11601,0.41,Ideal,5,D,VS1,4,1151,5
11602,1.02,Very Good,3,D,SI2,2,4583,5
11603,1.07,Ideal,5,G,VS1,4,7748,4
11604,0.54,Good,2,F,SI1,3,1292,5
11605,1.0,Ideal,5,E,VS2,5,7370,5
11606,0.41,Ideal,5,I,VVS1,7,891,4
11607,0.91,Ideal,5,G,SI2,2,3844,4
11608,1.51,Premium,4,F,SI1,3,11957,5
11609,0.3,Ideal,5,F,VVS1,7,802,5
11610,2.08,Premium,4,H,VS2,5,17258,4
11611,0.3,Good,2,D,SI1,3,552,5
11612,0.5,Good,2,F,SI2,2,984,5
11613,0.3,Ideal,5,G,VVS1,7,764,4
11614,0.71,Ideal,5,E,VS2,5,3073,5
11615,1.0,Very Good,3,H,SI1,3,4389,4
11616,0.36,Premium,4,D,SI1,3,851,5
11617,0.91,Very Good,3,E,SI1,3,4289,5
11618,0.74,Very Good,3,G,VVS1,7,3328,4
11619,0.7,Premium,4,D,VS1,4,3239,5
11620,0.32,Premium,4,E,IF,8,1170,5
11621,0.81,Ideal,5,D,VS2,5,4315,5
11622,0.5,Premium,4,I,SI1,3,1059,4
11623,1.53,Very Good,3,I,SI1,3,9183,4
11624,1.71,Ideal,5,I,VS2,5,11559,4
11625,0.33,Ideal,5,H,VS1,4,592,4
11626,0.27,Ideal,5,E,VVS2,6,622,5
11627,0.8,Ideal,5,F,VS2,5,4816,5
11628,1.54,Premium,4,F,SI2,2,7494,5
11629,1.59,Ideal,5,I,VS1,4,11119,4
11630,0.85,Very Good,3,F,VS1,4,4293,5
11631,0.5,Very Good,3,E,VS1,4,1665,5
11632,0.3,Premium,4,D,VS2,5,911,5
11633,0.31,Ideal,5,G,VVS2,6,707,4
11634,0.3,Good,2,H,VS1,4,526,4
11635,0.33,Premium,4,G,IF,8,1052,4
11636,1.51,Premium,4,H,SI1,3,10012,4
11637,0.44,Ideal,5,G,VVS1,7,1202,4
11638,2.11,Premium,4,I,SI2,2,14615,4
11639,1.0,Premium,4,H,SI2,2,3920,4
11640,0.3,Premium,4,J,VS1,4,506,4
11641,0.33,Ideal,5,I,IF,8,891,4
11642,1.0,Good,2,G,VS2,5,5068,4
11643,0.9,Good,2,H,SI2,2,2934,4
11644,0.41,Premium,4,H,SI1,3,876,4
11645,0.56,Ideal,5,I,VVS1,7,1580,4
11646,1.0,Good,2,H,VS1,4,4732,4
11647,1.07,Good,2,F,SI2,2,4446,5
11648,0.8,Premium,4,J,SI1,3,2016,4
11649,0.23,Very Good,3,D,SI2,2,449,5
11650,0.71,Ideal,5,G,SI1,3,3007,4
11651,0.32,Premium,4,F,VVS1,7,926,5
11652,0.56,Very Good,3,G,VS1,4,1819,4
11653,0.31,Very Good,3,I,SI1,3,523,4
